17ecdc6b-38e9-4046-886c-1e1eda76ff21|Avatr|11|11|11|ACTIVE|SUV|C-SUV-EV
c61cacbb-08e0-4698-8895-b7f3ac20aee6|Avatr|11|11|avatr-11|ACTIVE||suv
61895bc0-7333-4d4b-b763-8de29eaad888|BAIC|บีเจ30|BJ30|bj30|ACTIVE|SUV|B-SUV
21e9bbb1-8ce7-46b6-a708-937785e9c674|BAIC|เอกซ์55|X55|x55|ACTIVE|SUV|C-SUV
815e953e-e678-4317-9f94-1012b1fe4fd7|BMW|ซีรีส์ 1|1 Series|1-series|ACTIVE|Hatchback|Premium-B
4cb779e2-1c00-4e9f-ba07-137ca086caa9|BMW|ซีรีส์ 3|3 Series|3-series|ACTIVE|Sedan|Premium-C
bef47817-3ea6-43c7-95eb-16f65da6ccc4|BMW|ซีรีส์ 5|5 Series|5-series|ACTIVE|Sedan|Premium-D
4067c6a1-4d60-4503-b33a-6589f6c80400|BMW|ไอเอกซ์|iX|ix|ACTIVE|SUV|Premium-E-EV
36aecafe-4c6b-4ace-832c-37cd18d46149|BMW|เอกซ์1|X1|x1|ACTIVE|SUV|Premium-B-SUV
e4862e72-f072-4e0a-902c-2a5dad93d012|BMW|เอกซ์3|X3|x3|ACTIVE|SUV|Premium-C-SUV
f6cf21be-576a-4100-880a-a387a681521f|BMW|เอกซ์5|X5|x5|ACTIVE|SUV|Premium-D-SUV
0ae62775-8494-4b18-a4fe-73c0fd9173b7|BYD|อัตโต 2|ATTO 2|atto-2|ACTIVE||Compact SUV
46d61146-66fa-43f5-bbaa-83117f7ec730|BYD|อัตโต 3|ATTO 3|atto-3|ACTIVE||SUV
b0f24688-1d86-44a6-bb02-9a84c635def7|BYD|ดอลฟิน|Dolphin|dolphin|ACTIVE||Hatchback
d2d78394-0765-4eaa-83d1-d4cd5838613f|BYD|เอ็ม 6|M6|m6|ACTIVE||MPV
ab7b567e-f39a-4dcb-8924-09b19de38d6a|BYD|ซีล|Seal|seal|ACTIVE||Sedan
b7cb4b89-33bc-4d02-a684-cf48cb618e9b|BYD|ซีล 6|Seal 6|seal-6|ACTIVE||sedan
fbb8d652-29e2-446a-afd7-3ed56d4768b0|BYD|ซีไลออน 5|Sealion 5 DM-i|sealion-5|ACTIVE||SUV
445e2cc5-8f6f-4e07-a90c-1f69d09905f9|BYD|สิงโต 5 ดีเอ็ม-ไอ|Sealion 5 DM-i|sealion-5-dmi|ACTIVE|SUV|C-PHEV
023e741d-c3e3-414d-9d77-968214671334|BYD|สิงโต 6 ดีเอ็ม-ไอ|Sealion 6 DM-i|sealion-6-dmi|ACTIVE|SUV|C-PHEV
49edffa9-0e1e-4a4a-adcb-ebeffe5a9987|BYD|ซีไลออน 6|Sealion 6 DM-i|sealion-6|ACTIVE||SUV
06db8a59-72c6-49f4-b038-3df09a5266b1|BYD|ซีไลออน 7|Sealion 7|sealion-7|ACTIVE||SUV
