94c43f25-7cb1-4dc0-acec-d0205f44759f|อาวาทร์|Avatr|avatr|ACTIVE|
33ac1e8d-d50d-471e-b683-1f4aac6ac06b|บีไอซี|BAIC|baic|ACTIVE|https://www.baic.co.th
2a702511-73d4-4ec4-854e-ca4f883fed6a|บีเอ็มดับบลิว|BMW|bmw|ACTIVE|https://www.bmw.co.th
edd58c14-d177-4cc8-aa3c-32e0a450796d|บีวายดี|BYD|byd|ACTIVE|https://www.byd.com/en-th
e09088cd-27e5-4fae-9e31-c031b7a56a82|ฉางอัน|Changan|changan|ACTIVE|https://www.changan.co.th
71314e42-8c9b-43e4-ad47-7d7cf243edd5|เชอรี่|Chery|chery|ACTIVE|https://www.chery.co.th
480c049c-6d43-4c13-9d47-247e6543ae84|เชฟโรเลต|Chevrolet|chevrolet|ACTIVE|https://www.chevrolet.co.th
56294672-4c5d-45db-b564-e8e4ebc04b21|เดนซ่า|Denza|denza|ACTIVE|
e23cba2f-ff95-4652-9252-60564c52e86d|ฟอร์ด|Ford|ford|ACTIVE|https://www.ford.co.th
e53e164c-0563-4664-afc9-42e158698f15|จีลี่|Geely|geely|ACTIVE|
9681bc37-6d18-43bb-a8bc-121e8cafd8be|จีดับบลิวเอ็ม|GWM|gwm|ACTIVE|
76a4b60c-b0d7-4517-abb9-ee7d38324b74|ฮอนด้า|Honda|honda|ACTIVE|https://www.honda.co.th
35ce7508-23f6-47f8-8df2-68afa2b2b264|ฮุนได|Hyundai|hyundai|ACTIVE|
cf04c57b-cd54-485a-9555-4ac9d77a922b|อีซูซุ|Isuzu|isuzu|ACTIVE|https://www.isuzu-tti.co.th
6ab7c741-386c-42b6-81fe-200f540c117f|เจ็ททัวร์|Jetour|jetour|ACTIVE|https://www.jetour.co.th
970049cd-58d9-4a0b-b476-97505f6a1031|เคจี โมบิลิตี้|KG Mobility|kg-mobility|ACTIVE|https://www.kgmobility.co.th
9cf83452-2769-4ca1-ab90-ea5b2d0ec06f|เกีย|Kia|kia|ACTIVE|https://www.kia.com/th
b47b82ef-dbe3-4d1e-af34-f94f8cac0d84|เอลดีวี|LDV|ldv|ACTIVE|https://www.ldvautomotive.co.th
b1a21c59-c9ac-4c99-b361-2a3418f52b1a|เล็กซัส|Lexus|lexus|ACTIVE|https://www.lexus.co.th
3ec2f754-4dcb-46dd-8906-c2a9048d50b6|มาสด้า|Mazda|mazda|ACTIVE|
d4414785-ddb8-4326-86cc-d21f7c0b4905|เมอร์เซเดส-เบนซ์|Mercedes-Benz|mercedes-benz|ACTIVE|https://www.mercedes-benz.co.th
2e851714-b0c0-4c5e-a2ed-91c3a855a79b|เอ็มจี|MG|mg|ACTIVE|https://www.mgcars.com/th
e15380d3-b6ed-4789-a89e-2b16e6831f5c|มินิ|MINI|mini|ACTIVE|https://www.mini.co.th
85c44798-c566-46b1-97cb-1393ad8183df|มิตซูบิชิ|Mitsubishi|mitsubishi|ACTIVE|https://www.mitsubishi-motors.co.th
33b5a8f2-adc0-4837-9ab9-ed81492b7be9|นิโอ|NIO|nio|ACTIVE|
cb4580d9-619d-45a6-8358-1fd29b107c6d|นิสสัน|Nissan|nissan|ACTIVE|
a1ff7ea0-306a-4a7c-8cd3-4c0625a1dbdb|ปอร์เช่|Porsche|porsche|ACTIVE|https://www.porsche.com/thailand
b622a4dc-0a50-4c4c-b80b-7febdb1b986b|ซูบารุ|Subaru|subaru|ACTIVE|
ce74a748-f226-4819-b8aa-a5d56128c92d|ซูซูกิ|Suzuki|suzuki|ACTIVE|https://www.suzukimotor.co.th
eb530352-d967-4e56-8461-43eee1f81022|เทสลา|Tesla|tesla|ACTIVE|
17e50169-cbb6-40a7-9a73-382b97226325|โตโยต้า|Toyota|toyota|ACTIVE|https://www.toyota.co.th
b9770de6-2590-424a-8c44-75afa032c7fe|วอลโว่|Volvo|volvo|ACTIVE|https://www.volvo.co.th
7550abba-faa8-482a-8864-57fe08c65ef0|เอ็กซ์เพ่ง|Xpeng|xpeng|ACTIVE|
87e83a29-9bd2-439e-bf28-c758bbb9599e|ซีเคอร์|Zeekr|zeekr|ACTIVE|
