85d16262-8c9c-496a-a0b2-3c07b754912f|BYD|ATTO 2|Dynamic|38.000||LFP||secondary_automotive_media|https://www.9carthai.com/byd-price/|2026-09-18 08:45:44.254
221259a9-c685-4f53-a6cd-e888e66fde66|BYD|ATTO 3|Standard Range|49.900||LFP||secondary_automotive_media|https://www.9carthai.com/byd-price/|2026-09-18 08:28:06.962
3d108c90-63b2-4bf8-86e8-06b750991a10|BYD|Dolphin|Dynamic|44.900||LFP||secondary_automotive_media|https://www.9carthai.com/byd-price/|2026-09-18 08:45:44.254
5ce04918-4c2d-4d93-97c8-bbd5f7c295eb|BYD|Seal|Dynamic RWD|82.500||Blade||secondary_automotive_media|https://www.9carthai.com/byd-price/|2026-09-18 08:28:06.962
506ec09b-9250-483a-b063-b12423c8ce05|Honda|e:N2|EV|61.100||LFP||secondary_automotive_media|https://www.headlightmag.com/official-price-honda-en2/|2026-09-18 08:45:44.254
7f7a51f5-4cbc-412f-b65f-09f68ecb72a4|Honda|Super-ONE|EV|61.100||LFP||secondary_automotive_media|https://www.headlightmag.com/official-price-honda-super-one/|2026-09-18 08:45:44.254
1f425d67-413c-4214-9af6-7e4ae8905c95|MG|IM5|EV|77.000||NMC||secondary_automotive_media|https://www.headlightmag.com/official-price-mg-im-5-long-range-rwd/|2026-09-18 08:28:06.962
5e4a06b5-8087-4141-9f30-9b1d2e5e80e7|MG|MG4|Standard|51.000||LFP||secondary_automotive_media|https://www.headlightmag.com/official-price-mg4-my2026-2/|2026-09-18 08:28:06.962
a52677b2-f1ef-4aed-b2f3-f3cfe9729507|MG|S5 EV PLUS|EV PLUS|61.100||LFP||secondary_automotive_media|https://www.headlightmag.com/official-price-mg-urban-2026/|2026-09-18 08:28:06.962
05872ef4-6f7e-4341-a0d8-201014cabcdb|MG|URBAN|EV|39.600||LFP||secondary_automotive_media|https://www.9carthai.com/mg-price/|2026-09-18 08:45:44.254
c1052047-1ac5-4471-b5bc-be9e6c31b7ea|MG|ZS EV|Premium|50.300||LFP||secondary_automotive_media|https://www.9carthai.com/mg-price/|2026-09-18 08:45:44.254
68b13032-9f2c-4a46-b111-ab7458e8ff86|Toyota|bZ4X|AWD|||Lithium-ion||primary_official|https://www.toyota.co.th/en/model/api/car/?series_code=bz4x|2026-09-19 13:58:40.194
af97cdfb-6825-40ca-ac49-f167c1f355d1|Toyota|bZ4X|FWD|||Lithium-ion||primary_official|https://www.toyota.co.th/en/model/api/car/?series_code=bz4x|2026-09-19 13:58:40.194
5f487ae4-7cc8-4a10-80f7-2b2e49a1f558|Toyota|Camry|2.5 Premium|||Lithium-ion||primary_official|https://www.toyota.co.th/en/model/api/car/?series_code=camry|2026-09-19 13:57:49.714
1743c486-6316-4297-ae94-5af6653fd17e|Toyota|Camry|2.0 Smart|||Lithium-ion||primary_official|https://www.toyota.co.th/en/model/api/car/?series_code=camry|2026-09-19 13:57:49.714
e90f88ed-e58b-4762-af24-906b3f4cbd58|Toyota|Camry|2.5 Hybrid Premium|||Lithium-ion||primary_official|https://www.toyota.co.th/en/model/api/car/?series_code=camry|2026-09-19 13:57:49.714
33b3fefc-cc3a-44e6-85c0-4721f2a2989e|Toyota|Innova Zenix|2.0 Smart|||Nickel-metal hydride (NiMH)||primary_official|https://www.toyota.co.th/en/model/api/car/?series_code=innovazenix|2026-09-19 13:58:40.194
55697263-af8b-4c57-939e-9facb1c2be49|Toyota|Innova Zenix|2.0 Premium|||Nickel-metal hydride (NiMH)||primary_official|https://www.toyota.co.th/en/model/api/car/?series_code=innovazenix|2026-09-19 13:58:40.194
b40543c1-dd08-41db-829c-814d4a35e4a8|Toyota|Innova Zenix|2.0 Hybrid Premium|||Nickel-metal hydride (NiMH)||primary_official|https://www.toyota.co.th/en/model/api/car/?series_code=innovazenix|2026-09-19 13:58:40.194
